word,value,condition,variable,model
pamphlet,5.5,20,aoa,4
applause,4,20,aoa,4
culture,5,20,aoa,4
string,3,20,aoa,4
fortress,5,20,aoa,4
moth,4,20,aoa,4
feat,5.5,20,aoa,4
guilt,5,20,aoa,4
context,5.5,20,aoa,4
knock,2.5,20,aoa,4
people,2,20,aoa,4
spring,3,20,aoa,4
virtue,5.5,20,aoa,4
contempt,6,20,aoa,4
apple,2,20,aoa,4
bulge,4.5,20,aoa,4
chew,2,20,aoa,4
device,4.5,20,aoa,4
castle,3.5,20,aoa,4
beggar,5,20,aoa,4
town,3,20,aoa,4
complex,5.5,20,aoa,4
pride,4.5,20,aoa,4
ordeal,5.5,20,aoa,4
reason,4,20,aoa,4
bandage,4,20,aoa,4
dandruff,5,20,aoa,4
game,2.5,20,aoa,4
heaven,4,20,aoa,4
handle,3.5,20,aoa,4
whimper,4.5,20,aoa,4
caress,5,20,aoa,4
battle,4,20,aoa,4
doom,5.5,20,aoa,4
cuddle,3,20,aoa,4
arson,6,20,aoa,4
usher,5,20,aoa,4
passage,4.5,20,aoa,4
mural,5,20,aoa,4
whore,6.5,20,aoa,4
lust,5.5,20,aoa,4
pleasure,4.5,20,aoa,4
romance,5,20,aoa,4
crude,5.5,20,aoa,4
carcass,6,20,aoa,4
saloon,5,20,aoa,4
slope,4.5,20,aoa,4
respect,3.5,20,aoa,4
suburb,5,20,aoa,4
dance,2,20,aoa,4
monkey,2.5,20,aoa,4
victim,4.5,20,aoa,4
typhoon,5.5,20,aoa,4
hope,3,20,aoa,4
carpet,2.5,20,aoa,4
table,1.5,20,aoa,4
luggage,4,20,aoa,4
scalpel,6,20,aoa,4
recall,4,20,aoa,4
class,3,20,aoa,4
toast,3.5,20,aoa,4
model,4,20,aoa,4
crystal,4.5,20,aoa,4
candle,2.5,20,aoa,4
mischief,4.5,20,aoa,4
phase,5,20,aoa,4
spinach,3.5,20,aoa,4
throat,2.5,20,aoa,4
duty,4.5,20,aoa,4
wrath,5.5,20,aoa,4
urge,4.5,20,aoa,4
cricket,3,20,aoa,4
balloon,2,20,aoa,4
punch,3,20,aoa,4
compass,4,20,aoa,4
gloom,5,20,aoa,4
console,4.5,20,aoa,4
blister,4,20,aoa,4
glee,4,20,aoa,4
desert,3.5,20,aoa,4
courage,4,20,aoa,4
vowel,4.5,20,aoa,4
candy,2,20,aoa,4
doctor,2.5,20,aoa,4
monarch,5,20,aoa,4
lumber,5,20,aoa,4
plasma,6.5,20,aoa,4
anchor,4,20,aoa,4
hostess,5,20,aoa,4
fire,2,20,aoa,4
neglect,5,20,aoa,4
doubt,4.5,20,aoa,4
ant,2,20,aoa,4
zebra,2.5,20,aoa,4
wish,3,20,aoa,4
mirror,2.5,20,aoa,4
consent,5,20,aoa,4
cloak,4.5,20,aoa,4
verge,5,20,aoa,4
puzzle,3.5,20,aoa,4
lunch,2,20,aoa,4
stretch,3.5,20,aoa,4
limit,4,20,aoa,4
merchant,5.5,20,aoa,4
trend,5,20,aoa,4
texture,4.5,20,aoa,4
sin,4.5,20,aoa,4
gist,6,20,aoa,4
vulture,5,20,aoa,4
fleet,5,20,aoa,4
smell,2,20,aoa,4
child,1.5,20,aoa,4
stride,4.5,20,aoa,4
nuisance,5.5,20,aoa,4
asthma,5.5,20,aoa,4
prison,4,20,aoa,4
shirt,2,20,aoa,4
junk,4,20,aoa,4
cushion,3,20,aoa,4
attempt,4.5,20,aoa,4
bitch,5.5,20,aoa,4
launch,4.5,20,aoa,4
grind,4.5,20,aoa,4
clergy,6,20,aoa,4
nurture,4.5,20,aoa,4
hurdle,5,20,aoa,4
doctrine,6.5,20,aoa,4
cattle,3.5,20,aoa,4
person,1.5,20,aoa,4
excuse,4,20,aoa,4
transit,5.5,20,aoa,4
squeeze,3,20,aoa,4
concept,5.5,20,aoa,4
message,3.5,20,aoa,4
role,4.5,20,aoa,4
needle,3,20,aoa,4
cease,5,20,aoa,4
island,3,20,aoa,4
nectar,5,20,aoa,4
mate,3.5,20,aoa,4
portrait,4.5,20,aoa,4
palace,3.5,20,aoa,4
function,5,20,aoa,4
slave,4,20,aoa,4
flourish,5.5,20,aoa,4
flea,3.5,20,aoa,4
camp,3,20,aoa,4
melon,3,20,aoa,4
crab,3,20,aoa,4
signal,4,20,aoa,4
fiction,5,20,aoa,4
blame,4,20,aoa,4
hate,3.5,20,aoa,4
stab,4.5,20,aoa,4
justice,5,20,aoa,4
knowledge,4.5,20,aoa,4
bowel,5.5,20,aoa,4
blouse,4,20,aoa,4
bracket,5,20,aoa,4
venom,5.5,20,aoa,4
donkey,3,20,aoa,4
fame,4.5,20,aoa,4
sweater,3.5,20,aoa,4
marvel,5,20,aoa,4
plea,5,20,aoa,4
menace,5,20,aoa,4
curtain,3.5,20,aoa,4
traffic,4.5,20,aoa,4
impress,4.5,20,aoa,4
status,5,20,aoa,4
monster,3.5,20,aoa,4
freedom,4.5,20,aoa,4
costume,4,20,aoa,4
breakfast,2.5,20,aoa,4
lace,4,20,aoa,4
morsel,5,20,aoa,4
neutral,5.5,20,aoa,4
cottage,3.5,20,aoa,4
trust,4,20,aoa,4
progress,5,20,aoa,4
sleep,1.5,20,aoa,4
walnut,4,20,aoa,4
squash,3.5,20,aoa,4
dessert,3,20,aoa,4
coffin,5.5,20,aoa,4
lobster,4,20,aoa,4
pause,4.5,20,aoa,4
forge,5.5,20,aoa,4
police,3.5,20,aoa,4
pheasant,5.5,20,aoa,4
princess,3,20,aoa,4
caution,4.5,20,aoa,4
soldier,4,20,aoa,4
piece,2.5,20,aoa,4
hostage,5.5,20,aoa,4
rubble,5.5,20,aoa,4
honey,3,20,aoa,4
yeast,5,20,aoa,4
essence,5.5,20,aoa,4
success,5,20,aoa,4
contract,5.5,20,aoa,4
bondage,6,20,aoa,4
glacier,5,20,aoa,4
toilet,2,20,aoa,4
kill,3.5,20,aoa,4
parade,3,20,aoa,4
script,5,20,aoa,4
couch,2.5,20,aoa,4
talent,4,20,aoa,4
cough,2,20,aoa,4
date,4.5,20,aoa,4
guitar,4,20,aoa,4
pelvis,6,20,aoa,4
dread,4.5,20,aoa,4
faith,4,20,aoa,4
affair,5.5,20,aoa,4
harvest,4.5,20,aoa,4
picture,2,20,aoa,4
circuit,6,20,aoa,4
spirit,4,20,aoa,4
ruffle,5,20,aoa,4
prestige,6,20,aoa,4
issue,4.5,20,aoa,4
fuss,4,20,aoa,4
moisture,5.5,20,aoa,4
pest,4,20,aoa,4
pity,4.5,20,aoa,4
cancer,6,20,aoa,4
breast,3.5,20,aoa,4
aisle,5,20,aoa,4
trouble,3.5,20,aoa,4
sandwich,2.5,20,aoa,4
despair,5.5,20,aoa,4
basket,3,20,aoa,4
mug,3,20,aoa,4
ease,4,20,aoa,4
whisper,3.5,20,aoa,4
panther,5,20,aoa,4
taboo,6,20,aoa,4
service,4,20,aoa,4
troll,5.5,20,aoa,4
health,3.5,20,aoa,4
escort,5.5,20,aoa,4
carriage,4,20,aoa,4
leaf,2.5,20,aoa,4
hall,3,20,aoa,4
giraffe,3,20,aoa,4
waitress,5,20,aoa,4
settle,4,20,aoa,4
farewell,4.5,20,aoa,4
canoe,4.5,20,aoa,4
dare,3.5,20,aoa,4
strand,5,20,aoa,4
head,1.5,20,aoa,4
sparkle,4,20,aoa,4
passion,5,20,aoa,4
jewel,4,20,aoa,4
sentence,3.5,20,aoa,4
smear,5,20,aoa,4
snail,3,20,aoa,4
ladder,3,20,aoa,4
parrot,3.5,20,aoa,4
moment,3.5,20,aoa,4
method,5,20,aoa,4
forehead,3,20,aoa,4
reject,4.5,20,aoa,4
author,5,20,aoa,4
chest,3,20,aoa,4
packet,4.5,20,aoa,4
anger,4,20,aoa,4
ceiling,3.5,20,aoa,4
shrug,4.5,20,aoa,4
chord,5,20,aoa,4
toxin,6,20,aoa,4
cotton,3,20,aoa,4
mistress,6,20,aoa,4
comb,3,20,aoa,4
bliss,5,20,aoa,4
bounce,3,20,aoa,4
employ,5,20,aoa,4
button,2.5,20,aoa,4
art,3,20,aoa,4
chauffeur,6,20,aoa,4
line,2,20,aoa,4
pint,5,20,aoa,4
pension,6.5,20,aoa,4
office,4,20,aoa,4
risk,5,20,aoa,4
picket,5.5,20,aoa,4
goose,2.5,20,aoa,4
mansion,5,20,aoa,4
food,1.5,20,aoa,4
shame,4.5,20,aoa,4
mother,1,20,aoa,4
prince,3.5,20,aoa,4
power,4,20,aoa,4
version,5,20,aoa,4
outrage,5.5,20,aoa,4
wit,5,20,aoa,4
project,4.5,20,aoa,4
gain,4,20,aoa,4
phantom,5.5,20,aoa,4
leopard,4,20,aoa,4
incest,7,20,aoa,4
luck,3.5,20,aoa,4
dinner,2,20,aoa,4
sorrow,5,20,aoa,4
tumble,3,20,aoa,4
hand,1,20,aoa,4
myth,5,20,aoa,4
stock,5,20,aoa,4
hit,2,20,aoa,4
lettuce,3,20,aoa,4
malice,6,20,aoa,4
snort,4.5,20,aoa,4
shaft,5.5,20,aoa,4
baby,1.5,20,aoa,4
garbage,3,20,aoa,4
ulcer,6.5,20,aoa,4
disgust,5,20,aoa,4
report,4,20,aoa,4
fraud,6,20,aoa,4
bowl,2.5,20,aoa,4
delight,4,20,aoa,4
tulip,3.5,20,aoa,4
reptile,4,20,aoa,4
city,3,20,aoa,4
bonnet,3.5,20,aoa,4
seed,3,20,aoa,4
treasure,3.5,20,aoa,4
clover,3.5,20,aoa,4
jacket,2.5,20,aoa,4
apron,3,20,aoa,4
walrus,5,20,aoa,4
treason,6.5,20,aoa,4
methane,6,20,aoa,4
spit,2.5,20,aoa,4
shark,3.5,20,aoa,4
rain,2,20,aoa,4
stomach,3,20,aoa,4
stove,3,20,aoa,4
triumph,5,20,aoa,4
county,4.5,20,aoa,4
product,4,20,aoa,4
aspect,5,20,aoa,4
closure,5.5,20,aoa,4
ban,4.5,20,aoa,4
beer,4,20,aoa,4
pumpkin,3,20,aoa,4
wrestle,4,20,aoa,4
item,4,20,aoa,4
resort,5.5,20,aoa,4
tiger,3.5,20,aoa,4
fault,4,20,aoa,4
wisdom,5.5,20,aoa,4
hammock,5,20,aoa,4
artist,4,20,aoa,4
metal,3.5,20,aoa,4
pillow,2.5,20,aoa,4
notion,3,20,aoakup,35
crisis,5,20,aoakup,35
trousers,2,20,aoakup,35
cure,4,20,aoakup,35
wood,1,20,aoakup,35
figment,6,20,aoakup,35
mammal,3,20,aoakup,35
rattle,1,20,aoakup,35
trumpet,4,20,aoakup,35
belief,3,20,aoakup,35
python,5,20,aoakup,35
jungle,2,20,aoakup,35
wallet,3,20,aoakup,35
ham,1,20,aoakup,35
mood,2,20,aoakup,35
terror,4,20,aoakup,35
tortoise,3,20,aoakup,35
pupil,5,20,aoakup,35
bead,2,20,aoakup,35
column,4,20,aoakup,35
greed,3,20,aoakup,35
husband,2,20,aoakup,35
surgeon,5,20,aoakup,35
boast,3,20,aoakup,35
slum,4,20,aoakup,35
midst,2,20,aoakup,35
leisure,3,20,aoakup,35
sister,1,20,aoakup,35
necklace,4,20,aoakup,35
sword,3,20,aoakup,35
blood,2,20,aoakup,35
pamphlet,4,20,aoakup,35
applause,3,20,aoakup,35
culture,5,20,aoakup,35
string,2,20,aoakup,35
fortress,4,20,aoakup,35
moth,1,20,aoakup,35
feat,3,20,aoakup,35
guilt,4,20,aoakup,35
context,5,20,aoakup,35
knock,2,20,aoakup,35
people,1,20,aoakup,35
spring,3,20,aoakup,35
virtue,4,20,aoakup,35
contempt,5,20,aoakup,35
apple,2,20,aoakup,35
bulge,3,20,aoakup,35
chew,1,20,aoakup,35
device,4,20,aoakup,35
castle,3,20,aoakup,35
beggar,2,20,aoakup,35
town,1,20,aoakup,35
complex,4,20,aoakup,35
pride,3,20,aoakup,35
ordeal,5,20,aoakup,35
reason,2,20,aoakup,35
bandage,3,20,aoakup,35
dandruff,4,20,aoakup,35
game,1,20,aoakup,35
heaven,3,20,aoakup,35
handle,2,20,aoakup,35
whimper,4,20,aoakup,35
caress,3,20,aoakup,35
battle,2,20,aoakup,35
doom,5,20,aoakup,35
cuddle,3,20,aoakup,35
arson,4,20,aoakup,35
usher,5,20,aoakup,35
passage,2,20,aoakup,35
mural,3,20,aoakup,35
whore,4,20,aoakup,35
lust,5,20,aoakup,35
pleasure,3,20,aoakup,35
romance,2,20,aoakup,35
crude,4,20,aoakup,35
carcass,3,20,aoakup,35
saloon,5,20,aoakup,35
slope,2,20,aoakup,35
respect,4,20,aoakup,35
suburb,6,20,aoakup,35
dance,3,20,aoakup,35
monkey,2,20,aoakup,35
victim,8,20,aoakup,35
typhoon,10,20,aoakup,35
hope,2,20,aoakup,35
carpet,3,20,aoakup,35
table,1,20,aoakup,35
luggage,5,20,aoakup,35
scalpel,12,20,aoakup,35
recall,7,20,aoakup,35
class,2,20,aoakup,35
toast,3,20,aoakup,35
model,4,20,aoakup,35
crystal,6,20,aoakup,35
candle,2,20,aoakup,35
mischief,5,20,aoakup,35
phase,4,20,aoakup,35
spinach,3,20,aoakup,35
throat,2,20,aoakup,35
duty,5,20,aoakup,35
wrath,9,20,aoakup,35
urge,6,20,aoakup,35
cricket,4,20,aoakup,35
balloon,2,20,aoakup,35
punch,3,20,aoakup,35
compass,7,20,aoakup,35
gloom,6,20,aoakup,35
console,8,20,aoakup,35
blister,5,20,aoakup,35
glee,3,20,aoakup,35
desert,4,20,aoakup,35
courage,6,20,aoakup,35
vowel,3,20,aoakup,35
candy,2,20,aoakup,35
doctor,2,20,aoakup,35
monarch,7,20,aoakup,35
lumber,5,20,aoakup,35
plasma,9,20,aoakup,35
anchor,6,20,aoakup,35
hostess,4,20,aoakup,35
fire,2,20,aoakup,35
neglect,7,20,aoakup,35
doubt,4,20,aoakup,35
ant,2,20,aoakup,35
zebra,3,20,aoakup,35
wish,4,20,aoakup,35
mirror,3,20,aoakup,35
consent,8,20,aoakup,35
cloak,5,20,aoakup,35
verge,6,20,aoakup,35
puzzle,4,20,aoakup,35
lunch,2,20,aoakup,35
stretch,4,20,aoakup,35
limit,5,20,aoakup,35
merchant,6,20,aoakup,35
trend,5,20,aoakup,35
texture,7,20,aoakup,35
sin,4,20,aoakup,35
gist,6,20,aoakup,35
vulture,8,20,aoakup,35
fleet,5,20,aoakup,35
smell,2,20,aoakup,35
child,1,20,aoakup,35
stride,4,20,aoakup,35
nuisance,6,20,aoakup,35
asthma,7,20,aoakup,35
prison,4,20,aoakup,35
shirt,2,20,aoakup,35
junk,3,20,aoakup,35
cushion,4,20,aoakup,35
attempt,6,20,aoakup,35
bitch,8,20,aoakup,35
launch,5,20,aoakup,35
grind,4,20,aoakup,35
clergy,6,20,aoakup,35
nurture,5,20,aoakup,35
hurdle,10,20,aoakup,35
doctrine,12,20,aoakup,35
cattle,2,20,aoakup,35
person,1,20,aoakup,35
excuse,3,20,aoakup,35
transit,5,20,aoakup,35
squeeze,4,20,aoakup,35
concept,6,20,aoakup,35
message,2,20,aoakup,35
role,3,20,aoakup,35
needle,2,20,aoakup,35
cease,4,20,aoakup,35
island,3,20,aoakup,35
nectar,5,20,aoakup,35
mate,3,20,aoakup,35
portrait,6,20,aoakup,35
palace,4,20,aoakup,35
function,3,20,aoakup,35
slave,5,20,aoakup,35
flourish,7,20,aoakup,35
flea,2,20,aoakup,35
camp,4,20,aoakup,35
melon,2,20,aoakup,35
crab,3,20,aoakup,35
signal,2,20,aoakup,35
fiction,5,20,aoakup,35
blame,3,20,aoakup,35
hate,2,20,aoakup,35
stab,6,20,aoakup,35
justice,4,20,aoakup,35
knowledge,3,20,aoakup,35
bowel,5,20,aoakup,35
blouse,2,20,aoakup,35
bracket,4,20,aoakup,35
venom,6,20,aoakup,35
donkey,2,20,aoakup,35
fame,4,20,aoakup,35
sweater,2,20,aoakup,35
marvel,5,20,aoakup,35
plea,3,20,aoakup,35
menace,6,20,aoakup,35
curtain,2,20,aoakup,35
